Dataset,Papers,Papers in internal citations,Internal citations,Density,GCC size,Internal citation ratio
protein_folding,"82,428","73,433 (89.1%†)","889,384 (76.6%‡)",2.62e-04,"72,970 (88.5%†)",0.7656§
CRISPR,"64,484","49,224 (76.3%†)","753,711 (66.2%‡)",3.63e-04,"48,937 (75.9%†)",0.6620§
neuroblastoma,"57,319","44,290 (77.3%†)","326,670 (42.1%‡)",1.99e-04,"43,662 (76.2%†)",0.4214§
osteosarcoma,"61,187","46,131 (75.4%†)","389,874 (60.0%‡)",2.08e-04,"45,365 (74.1%†)",0.6001§
additive_manufacturing,"58,541","48,937 (83.6%†)","575,853 (70.6%‡)",3.36e-04,"48,190 (82.3%†)",0.7056§
corrosion_protection,"26,486","18,861 (71.2%†)","125,884 (38.9%‡)",3.59e-04,"18,112 (68.4%†)",0.3894§
income_inequality,"40,279","26,974 (67.0%†)","136,433 (28.0%‡)",1.68e-04,"26,189 (65.0%†)",0.2796§
organizational_behavior,"75,622","42,269 (55.9%†)","242,381 (28.3%‡)",8.48e-05,"39,904 (52.8%†)",0.2830§
film_studies,"393,342","280,525 (71.3%†)","903,486 (23.4%‡)",1.17e-05,"264,167 (67.2%†)",0.2337§
memory_studies,"347,195","247,507 (71.3%†)","1,820,834 (45.0%‡)",3.02e-05,"237,708 (68.5%†)",0.4499§
